"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1991",0.475779280514874,0.528668771340518,0.500405699134034,0.539226838560954,0.322868404771357,0.460924843622006,0.492797582285001,0,0.423252110757932,0.516285491630302,0.440568626999058,0.493061218090392
"w1991q",0.33464746438563,0.114755795505909,0.349923888815417,0,0.278822531399222,0,0.544220466998584,0,0.284171838091237,0,0.289525912496571,0
"migshareMinusOwn1991",0,0.0113439941133198,0,0.0152081356729081,0.91377842786398,1.40907102659927,0,0.490499023172271,-0.109716522383687,0.0859313258159464,0,0.0499569619876817
"popPerAcre1991",0.0035793117742869,0.00430834811327042,0.00184750530849501,0.0045755915206237,-0.133195051672439,0,0,0,0.0271066035885239,0.0476848294296993,0,0.00882632866637493
"ea1991",-0.000875460083314772,0.0022054328301333,0,0.00283734972625616,-0.662090014107114,-0.956247486550313,0,0,-0.0678100595271177,0,-0.015360656512854,0
