"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1971",0.294248152852773,0.552168023197734,0.321137689421784,0.513513430922292,0.365473157712822,0,0.172962004976188,0.574107794766198,0.150445864670013,0.359347824105684,0.121441224323003,0.299638573980179
"w1971q",0.252309740064926,0.25733708838031,0.292419765564105,0.445601153011945,0,0,0,0,0.25290959726333,0,0.287725847522924,0
"migshareMinusOwn1971",-0.018563690805306,0.00529086026454826,-0.0375714745004071,0,0,2.29811415593639,1.1475806187564,1.15335777851684,-0.136327538303177,0.0756844240679472,0,0.0641243096056021
"popPerAcre1971",0.00504519028456484,0.0023240193061726,0.00356532805703648,0.00248746234194331,0,0,0,0,0.0435056019325532,0.0600451566594664,0,0.0078241950488332
"ea1971",0.0142400773329532,0.00378972353792289,0.0256401095979813,0,-1.00224057368229,-1.11014037831549,0,-0.38218740166453,0,0.0554195844123233,0,0.0222113290732822
