"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1971",0.234128659377922,0.330112331891746,0.255683038819556,0.267353425956076,0.365473157712822,0,0.172962004976188,0.574107794766198,0.150445864670013,0.359347824105684,0.121441224323003,0.299638573980179
"w1971q",0.248933759571439,0,0.266713035073872,0,0,0,0,0,0.25290959726333,0,0.287725847522924,0
"migshareMinusOwn1971",-0.00576638202674458,0.0112909759059438,-0.0110171646003987,0.0144355499283355,0,2.29811415593639,1.1475806187564,1.15335777851684,-0.136327538303177,0.0756844240679472,0,0.0641243096056021
"popPerAcre1971",0.00523778811134408,0.00432032368688153,0.00393392333455499,0.00457140669091591,0,0,0,0,0.0435056019325532,0.0600451566594664,0,0.0078241950488332
"ea1971",0.00660030035899921,0.00945334479341808,0.00848445052285471,0.0150879066501344,-1.00224057368229,-1.11014037831549,0,-0.38218740166453,0,0.0554195844123233,0,0.0222113290732822
