"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1991",0.505379747757883,0.632338550227452,0.507919705721242,0.784131753130278,0.322868404771357,0.460924843622006,0.492797582285001,0,0.423252110757932,0.516285491630302,0.440568626999058,0.493061218090392
"w1991q",0.280395446030081,0.386661132169416,0.284127185183148,0.498226944598317,0.278822531399222,0,0.544220466998584,0,0.284171838091237,0,0.289525912496571,0
"migshareMinusOwn1991",0,0.00632173557113486,0,0.0070165397549722,0.91377842786398,1.40907102659927,0,0.490499023172271,-0.109716522383687,0.0859313258159464,0,0.0499569619876817
"popPerAcre1991",0.00273705730342286,0.00309021363023554,0,0.00279019910586636,-0.133195051672439,0,0,0,0.0271066035885239,0.0476848294296993,0,0.00882632866637493
"ea1991",0,0,0,-0.00176576352054686,-0.662090014107114,-0.956247486550313,0,0,-0.0678100595271177,0,-0.015360656512854,0
