"Estimate","Std..Error","t.value","Pr...t..","source","coeff"
0.395126565975438,0.0100962682727736,39.1359020283729,1.57044346476709e-311,"3census_allScot_Poor","xij1991"
0.422616461187722,0.0151814274941955,27.8377287873164,3.05628195547464e-164,"3census_allScot_Poor","w1991q"
0.00313486647357753,0.0010727156480436,2.92236482174454,0.00348173674267196,"3census_allScot_Poor","migshareMinusOwn1991"
-0.00339141041504873,0.00722091445223198,-0.469664948599474,0.638604804434748,"3census_allScot_Poor","lph91"
0.00603457566075145,0.000589557457984056,10.2357718981051,1.81713604964976e-24,"3census_allScot_Poor","hsperacre91"
-0.166290844900582,0.0169886744720893,-9.78833546865476,1.60018699910181e-22,"3census_allScot_Poor","lpophs91"
-0.00122435151361594,0.000374847095011493,-3.26626917991295,0.0010934703978177,"3census_allScot_Poor","ea91"
0.255186615460915,0.00811092340994052,31.4620916217955,3.0327870009947e-205,"3census_allScot_Rich","xij1991"
0.0829958087022567,0.0102308004954365,8.11234748828088,5.68338845275604e-16,"3census_allScot_Rich","w1991q"
0.0140047079621399,0.000841723406042583,16.638135356107,3.67380878151116e-61,"3census_allScot_Rich","migshareMinusOwn1991"
0.0459977692120058,0.00588652600872304,7.81407729174105,6.22155476723048e-15,"3census_allScot_Rich","lph91"
0.0116160560230633,0.000469213532577374,24.7564386288194,1.47874114335527e-130,"3census_allScot_Rich","hsperacre91"
-0.15131962021973,0.013846312200561,-10.9285142518741,1.30406475489219e-27,"3census_allScot_Rich","lpophs91"
0.00251227454066349,0.000307214231430118,8.17759818276832,3.32882578818796e-16,"3census_allScot_Rich","ea91"
0.412280279757984,0.0163699387219487,25.1852060512115,6.63005445465579e-130,"3census_urban_allScot_Poor","xij1991"
0.43223847153449,0.0244355223071821,17.6889393277854,1.9385875590637e-67,"3census_urban_allScot_Poor","w1991q"
0.00189855220137574,0.00207095464661871,0.916752186956649,0.359328621480084,"3census_urban_allScot_Poor","migshareMinusOwn1991"
-0.0633020764788735,0.0167183791242001,-3.78637641894619,0.000155137083678279,"3census_urban_allScot_Poor","lph91"
0.000920880853110203,0.00120353573931319,0.765146246205961,0.444230292088717,"3census_urban_allScot_Poor","hsperacre91"
-0.418736607434082,0.0400300543265088,-10.4605555620439,2.80181731978515e-25,"3census_urban_allScot_Poor","lpophs91"
0.0013645116434819,0.000736569474599714,1.85252266152278,0.0640255435931502,"3census_urban_allScot_Poor","ea91"
0.416330704660581,0.0168451408658246,24.7151809519879,7.96631722694572e-124,"3census_urban_allScot_Rich","xij1991"
0.309462674193351,0.0256338514876995,12.072422060409,7.26779668889146e-33,"3census_urban_allScot_Rich","w1991q"
0.0113207113305235,0.00123498348963047,9.16669042588648,8.38180462211509e-20,"3census_urban_allScot_Rich","migshareMinusOwn1991"
0.0293429738996132,0.0106219400374272,2.7624872477364,0.00576823686036478,"3census_urban_allScot_Rich","lph91"
0.00741749734927449,0.000772970980000314,9.59608774610333,1.58718536406421e-21,"3census_urban_allScot_Rich","hsperacre91"
-0.360378876087356,0.0253910131338371,-14.1931664635745,2.02833483622223e-44,"3census_urban_allScot_Rich","lpophs91"
0.00301870153931901,0.00047499518219563,6.35522559484769,2.36848246754234e-10,"3census_urban_allScot_Rich","ea91"
0.413189005476566,0.0203139411240148,20.340169490208,1.62091674385706e-81,"Glasgow_3census_urban_allScot_Poor","xij1991"
0.384902949154465,0.0308341268724058,12.4830176235321,4.12351552988699e-34,"Glasgow_3census_urban_allScot_Poor","w1991q"
0.00204638167672634,0.0025011893170817,0.818163448384622,0.413392439689353,"Glasgow_3census_urban_allScot_Poor","migshareMinusOwn1991"
-0.031438019876587,0.025732359486735,-1.22173094514684,0.221999330162449,"Glasgow_3census_urban_allScot_Poor","lph91"
-0.00720584838569142,0.00180853554143696,-3.98435541939422,7.08751302867516e-05,"Glasgow_3census_urban_allScot_Poor","hsperacre91"
-0.505833896736184,0.0668569807281184,-7.56590996523184,6.6459458345194e-14,"Glasgow_3census_urban_allScot_Poor","lpophs91"
-0.000542166890689598,0.00111467057547689,-0.486392036012649,0.62675953881129,"Glasgow_3census_urban_allScot_Poor","ea91"
0.37287095639019,0.0224332974016886,16.6213173976878,2.97743635161897e-56,"Glasgow_3census_urban_allScot_Rich","xij1991"
0.158315250699407,0.0343236241609429,4.61242816192921,4.38479329830523e-06,"Glasgow_3census_urban_allScot_Rich","w1991q"
0.00852480953445022,0.000933108443564494,9.13592583289169,2.51128739948629e-19,"Glasgow_3census_urban_allScot_Rich","migshareMinusOwn1991"
0.0430314145370493,0.0102178781950407,4.2113845668991,2.71826778883563e-05,"Glasgow_3census_urban_allScot_Rich","lph91"
-0.000320652026867943,0.00073573324490211,-0.435826475274482,0.663037169191231,"Glasgow_3census_urban_allScot_Rich","hsperacre91"
-0.337468971177761,0.0263194715608592,-12.8220268555705,1.81645193731939e-35,"Glasgow_3census_urban_allScot_Rich","lpophs91"
0.00107829049081263,0.000444825342050624,2.42407612354494,0.0154871597441509,"Glasgow_3census_urban_allScot_Rich","ea91"
0.496543509131137,0.0500393871069232,9.92305337533676,6.62996292814471e-22,"Edinburgh_3census_urban_allScot_Poor","xij1991"
0.500218275868313,0.0816536145747901,6.12610082815306,1.44442781915843e-09,"Edinburgh_3census_urban_allScot_Poor","w1991q"
-0.01566017396864,0.00737085888233409,-2.12460640186358,0.0339416345234079,"Edinburgh_3census_urban_allScot_Poor","migshareMinusOwn1991"
-0.13129951108574,0.05079647876118,-2.58481521333487,0.0099283852959576,"Edinburgh_3census_urban_allScot_Poor","lph91"
