"coeff","3census_allScot_Poor","3census_allScot_Rich","3census_urban_allScot_Poor","3census_urban_allScot_Rich","Aberdeen_3census_urban_allScot_Poor","Aberdeen_3census_urban_allScot_Rich","Dundee_3census_urban_allScot_Poor","Dundee_3census_urban_allScot_Rich","Edinburgh_3census_urban_allScot_Poor","Edinburgh_3census_urban_allScot_Rich","Glasgow_3census_urban_allScot_Poor","Glasgow_3census_urban_allScot_Rich"
"xij1991",0.395126565975438,0.255186615460915,0.412280279757984,0.416330704660581,0.293260963208994,0.212394553701194,0.248574955066192,0.212850564274652,0.496543509131137,0.604148557985269,0.413189005476566,0.37287095639019
"w1991q",0.422616461187722,0.0829958087022567,0.43223847153449,0.309462674193351,0.631015449385847,0.182445157396078,0.462680814811569,0,0.500218275868313,0.47849857386428,0.384902949154465,0.158315250699407
"migshareMinusOwn1991",0.00313486647357753,0.0140047079621399,0,0.0113207113305235,0,0.109231789306424,0,0,-0.01566017396864,0.0257012223868516,0,0.00852480953445022
"lph91",0,0.0459977692120058,-0.0633020764788735,0.0293429738996132,0,0,0,0,-0.13129951108574,-0.176957588731912,0,0.0430314145370493
"hsperacre91",0.00603457566075145,0.0116160560230633,0,0.00741749734927449,-0.0442780822167013,0,0,-0.00880150554517073,0.0090702209772993,0.0165881583116895,-0.00720584838569142,0
"lpophs91",-0.166290844900582,-0.15131962021973,-0.418736607434082,-0.360378876087356,0,0,-0.654782701360884,-0.612926532141841,-0.336416867524506,0,-0.505833896736184,-0.337468971177761
"ea91",-0.00122435151361594,0.00251227454066349,0,0.00301870153931901,-0.0669414026287633,0,0,0,0,0.0109850500202542,0,0.00107829049081263
