cob,xij1971,xij1981,xij1991,xij2001,xij2011,label,w1971q,w1981q,w1991q,w2001q,w2011q
Irish.Republic,2.9831948913967946e-4,0.0043195200223594315,0.008864545085542859,0.01648460246473253,0.015033970342118055,01AAFA,0.10886805462931254,0.10425084855785853,0.09902629970560378,0.11644071538694045,0.12010593064892847
Irish.Republic,0.004433197225544669,0.007469470174998579,0.013063540126063162,0.027040122732558312,0.01737995309221983,01AAFQ,0.1078343351952113,0.10346336101969875,0.09797655094547372,0.11380183531998402,0.11951943496140302
Irish.Republic,0.06007694533734312,0.03209673624979075,0.021461530207103768,0.04232884516441576,0.04037468145344987,01AAGB,0.1321345011897297,0.1116358395546038,0.09294812478583829,0.1066517109077551,0.12410712134599318
Irish.Republic,0.20328115843862532,0.18616168343745573,0.1348343963011519,0.12480099298225532,0.14464419299457604,01ABFA,0.17766351678669667,0.18498018390598073,0.16294433532241281,0.16994741141546882,0.1492057397693666
Irish.Republic,0.14984492407079436,0.12050989713161021,0.10730765103551883,0.13301948311142134,0.10915551890710337,01ABFB,0.16030930917786262,0.16761861682559068,0.14584509440740517,0.13999850260219152,0.13217980047201666
Irish.Republic,0.15232729704754014,0.14351869101536135,0.15163037646323313,0.13916251181736553,0.14540025690661249,01ABFC,0.1837898219259729,0.1595798991609484,0.1255032962111068,0.12218522714034025,0.12238336692515017
Irish.Republic,0.0788500655435978,0.09274842827281772,0.10124243597698951,0.0821140094903736,0.09820631776668695,01ABFD,0.165187678656469,0.15179039020411664,0.14568180015582938,0.1317330472788028,0.12483499994562916
Irish.Republic,0.23248891672567823,0.19700001327610825,0.18102334174687526,0.18976658807874122,0.18101032387212676,01ABFE,0.2676709731113821,0.2597287781513394,0.2246795600253006,0.20871004831195356,0.19915868841401294
Irish.Republic,0.20529802062078809,0.19122516784520688,0.17355846167483915,0.21592631229196196,0.1862007074101927,01ABFF,0.22519286894788756,0.20195697778473437,0.16650181723174254,0.16588742973650009,0.15850547768979753
Irish.Republic,0.29397066043792175,0.20064461509960094,0.1772909017108572,0.1752224084033039,0.18379602199682651,01ABFG,0.27472604809192375,0.25883174429226485,0.21189373121144114,0.2130998496375575,0.19439354293170272
Irish.Republic,0.2102208979630083,0.13505912926704672,0.14369894138669478,0.12364891141624194,0.10741720331596734,01ABFH,0.20278306508713384,0.19921725500807075,0.15847318319593287,0.17510010631776834,0.15812350958697252
Irish.Republic,0.06954584329095809,0.07088375403680504,0.06765047565282709,0.057400067307951226,0.06869664674582045,01ABFJ,0.13436968977518735,0.13673792073166907,0.12130430117058648,0.12311295400362016,0.11545537762959439
Irish.Republic,0.13871224554441391,0.12893560577314359,0.11290631108954591,0.11388323667086889,0.11487726679660648,01ABFK,0.3217200347128287,0.3083180543852258,0.2734012326383219,0.2365698881526424,0.2374681920770152
Irish.Republic,0.0659342169347018,0.053270900681308644,0.054120380522261674,0.06214894540832008,0.08362638245493936,01ABFL,0.1592882623709717,0.17283640550502619,0.14873773543531915,0.13694644287072938,0.1275440572347201
Irish.Republic,0.09458318053265219,0.18362372434733581,0.16422736158479403,0.16414654041212468,0.15031971522433438,01ABFM,0.22034615853025152,0.19054842469881267,0.17841063372166263,0.1833763501088725,0.16462339096832196
Irish.Republic,0.1896280157898802,0.19927124191421106,0.17542468169284817,0.17649544019683858,0.15259296196246766,01ABFN,0.17045608428021344,0.15979195539129437,0.14470981056311633,0.15415969172140365,0.13650662870795446
Irish.Republic,0.06920567169795336,0.06584892853732523,0.045255835436718815,0.05557796941525364,0.05850362261811475,01ABFP,0.15873749360846803,0.1553860633085927,0.15404091065316144,0.14465099010463267,0.13193110764206828
Irish.Republic,0.2227875987603056,0.1858990970643233,0.21881429711155795,0.17860771597630062,0.1818482675553498,01ABFQ,0.19497798332153843,0.17743762218473924,0.15536281649925118,0.15357378187466417,0.14199940383783743
Irish.Republic,0.14086684210803826,0.11863465962010655,0.09284444589594891,0.1055147302611657,0.11626437468798025,01ABFR,0.15454269096346748,0.13507296396923535,0.11461701277272082,0.11208539740367184,0.11806737364842013
Irish.Republic,0.7019683705950797,0.5814875776817375,0.5216084950335219,0.4262596662426764,0.47060363584006254,01ABFS,0.36434674718456483,0.348372143112443,0.2907220871804681,0.24841564156915158,0.23235811468449294
Irish.Republic,0.17557578196497434,0.14888742865066423,0.1413661663641835,0.10940999235410431,0.09513563284409067,01ABFT,0.16610607324624044,0.16083746542776428,0.15349659648124214,0.14325932398895236,0.15273888494344007
Irish.Republic,0.23471987797670407,0.33484762011786373,0.30186108791295946,0.25476371159145006,0.2533641082250294,01ABFU,0.3212691300930288,0.2988731691358729,0.2340032544803536,0.2111464676530948,0.19553148377195073
Irish.Republic,0.30931657674547286,0.27209388370969423,0.19128755184592486,0.2169506175410743,0.2080119129813626,01ABFW,0.17396770193184002,0.16323163099892365,0.15016406073479746,0.15464007192475193,0.13552877978846492
Irish.Republic,0.3245088334248713,0.2341744863512111,0.1796236767333685,0.1824363719648446,0.18117258351804652,01ABFX,0.2991758638668183,0.2854541973692757,0.24781846655811485,0.23554085988828008,0.21726463334759788
Irish.Republic,0.1760336282506684,0.2046270581513193,0.1656270265983008,0.16339815497531737,0.14008922952479932,01ABFY,0.24054597766636543,0.19869059845466525,0.1772909017108572,0.18239329873564983,0.16816265082005152
Irish.Republic,0.19198079350532327,0.19612078153033444,0.19688621189995195,0.1728449546825756,0.1425397353438332,01ABFZ,0.18793362508329067,0.17704903806178743,0.1582954479561225,0.14901062647961083,0.14685935343890094
