label,name,year,England,Scotland,Wales,Irish.Republic,Rest.of.UK,India,Pakistan,Europe,Rest.of.world,UK,non.UK
05CFFA,Anston/Woodsetts,1971,96.59096541290411,1.0151978328084863,0.6678349754625321,0.2661796313146855,0.18359595668832568,0.0846014048378574,0,0.5542755872864071,0.6373491986975959,98.45759417786344,1.542405822136546
05CFFB,Aston/Orgreave/Ulley,1971,96.79100583059405,0.8414917225066376,0.3488380988764867,0.2647055345636236,0.16621358416757476,0.10634173791145107,0.008478686919630123,0.2920178880548531,1.1809069164056862,98.14754923614474,1.852450763855244
05CFFC,Boston,1971,94.57851496628015,1.3459203249096077,0.4936041587577833,0.541089492831991,0.28958874683059366,0.36764577441470486,1.0922400017361638,0.513482776975146,0.7779137572638619,96.70762819677813,3.292371803221868
05CFFD,Bramley/Ravenfield/Wickersley,1971,97.24566375811283,0.9942176763442813,0.5030600502585691,0.3384347075615799,0.1467245230576805,0.12637044450350568,0,0.3005458906428397,0.34498294951870545,98.88966600777336,1.1103339922266309
05CFFE,Brampton/Melton/Wentworth,1971,97.69357879171316,0.9022706098931762,0.3719543459843868,0.31298069120817296,0.09846619501909543,0.04774166307322178,0.020049589900538352,0.30627475598649145,0.24668335722174603,99.06626994260984,0.9337300573901707
05CFFF,Brinsworth/Catcliffe/Treeton,1971,97.61832798965338,0.8478143278375536,0.2973125204635665,0.35076737033394073,0.13658702220870733,0.044797429403436215,0.017681805081444662,0.3823623115460193,0.3043492234719387,98.9000418601632,1.0999581398367797
05CFFG,Broom,1971,96.98614406239574,0.9551761751255913,0.5987059641323085,0.30953636912154175,0.09937505490713344,0.12402923737533797,0.028799497683320657,0.36017209268031525,0.5380615465787103,98.63940125656076,1.360598743439226
05CFFH,Central,1971,91.91861423003961,0.854830249272559,0.4092067680416843,0.8502007790017726,0.4142606659189316,0.3600904844428485,3.097903977135209,1.0179353935895183,1.0769574525578658,93.59691191327278,6.403088086727213
05CFFJ,Dalton/Hooton Roberts/Thrybergh,1971,96.5559124012243,1.2518889855622117,0.5478292635435916,0.657536650759437,0.22957348244230066,0.04777737332303973,9.893553378465987e-5,0.36170335899719946,0.34767954861413997,98.58520413277242,1.4147958672276009
05CFFK,Greasebrough,1971,97.42778021514495,0.7468121437416357,0.521736448353357,0.3449667494511589,0.065567862441088115,0.15344202949583535,0.020234416454438842,0.44849679770615186,0.2709633372113814,98.76189666968102,1.2381033303189664
05CFFL,Herringthorpe,1971,97.04609049604562,0.7994415949956288,0.3407755912151838,0.5645038588687602,0.2652660200768261,0.0762577798430443,0.1627491412294021,0.38507610925094965,0.3598394084745885,98.45157370233325,1.5484262976667447
05CFFM,Kimberworth,1971,97.3422666492674,0.6671666835553914,0.3265102484370188,0.4921512693118177,0.2199545163813849,0.10949864375922778,0.03260274587804002,0.5393247531521144,0.2705244902576042,98.55589809764119,1.444101902358804
