cob,xij1991,xij2001,xij2011,label,w1991q,w2001q,w2011q
Irish_Repu,0.008864545085542859,0.01648460246473253,0.015033970342118055,01AAFA,0.09902629970560378,0.11644071538694045,0.12010593064892836
Irish_Repu,0.013063540126063162,0.027040122732558312,0.01737995309221983,01AAFQ,0.09797655094547372,0.11380183531998402,0.11951943496140291
Irish_Repu,0.021461530207103768,0.04232884516441576,0.04037468145344987,01AAGB,0.09294812478583829,0.1066517109077551,0.12410712134599318
Irish_Repu,0.1348343963011519,0.12480099298225532,0.1446441929945763,01ABFA,0.16294433532241281,0.16994741141546882,0.14920573976936655
Irish_Repu,0.10730765103551883,0.13301948311142134,0.10915551890710337,01ABFB,0.14584509440740517,0.13999850260219152,0.1321798004720166
Irish_Repu,0.15163037646323313,0.13916251181736553,0.14540025690661257,01ABFC,0.1255032962111068,0.12218522714034025,0.12238336692515012
Irish_Repu,0.10124243597698951,0.0821140094903736,0.09820631776668656,01ABFD,0.14568180015582938,0.1317330472788028,0.1248349999456292
Irish_Repu,0.18102334174687526,0.18976658807874122,0.18101032387212646,01ABFE,0.2246795600253006,0.20871004831195356,0.19915868841401296
Irish_Repu,0.17355846167483915,0.21592631229196196,0.18620070741019293,01ABFF,0.16650181723174254,0.16588742973650009,0.1585054776897975
Irish_Repu,0.1772909017108572,0.1752224084033039,0.18379602199682651,01ABFG,0.21189373121144114,0.2130998496375575,0.19439354293170263
Irish_Repu,0.14369894138669478,0.12364891141624194,0.10741720331596703,01ABFH,0.15847318319593287,0.17510010631776834,0.1581235095869725
Irish_Repu,0.06765047565282709,0.057400067307951226,0.06869664674582045,01ABFJ,0.12130430117058648,0.12311295400362016,0.1154553776295943
Irish_Repu,0.11290631108954591,0.11388323667086889,0.11487726679660672,01ABFK,0.2734012326383219,0.2365698881526424,0.23746819207701508
Irish_Repu,0.054120380522261674,0.06214894540832008,0.08362638245493927,01ABFL,0.14873773543531915,0.13694644287072938,0.1275440572347201
Irish_Repu,0.16422736158479403,0.16414654041212468,0.15031971522433438,01ABFM,0.17841063372166263,0.1833763501088725,0.16462339096832201
Irish_Repu,0.17542468169284817,0.17649544019683858,0.15259296196246758,01ABFN,0.14470981056311633,0.15415969172140365,0.1365066287079545
Irish_Repu,0.045255835436718815,0.05557796941525364,0.05850362261811475,01ABFP,0.15404091065316144,0.14465099010463267,0.13193110764206817
Irish_Repu,0.21881429711155795,0.17860771597630062,0.1818482675553498,01ABFQ,0.15536281649925118,0.15357378187466417,0.14199940383783743
Irish_Repu,0.09284444589594891,0.1055147302611657,0.11626437468798025,01ABFR,0.11461701277272082,0.11208539740367184,0.11806737364842006
Irish_Repu,0.5216084950335219,0.4262596662426764,0.47060363584006243,01ABFS,0.2907220871804681,0.24841564156915158,0.2323581146844929
Irish_Repu,0.1413661663641835,0.10940999235410431,0.09513563284409052,01ABFT,0.15349659648124214,0.14325932398895236,0.15273888494344007
Irish_Repu,0.30186108791295946,0.25476371159145006,0.2533641082250293,01ABFU,0.2340032544803536,0.2111464676530948,0.19553148377195076
Irish_Repu,0.19128755184592486,0.2169506175410743,0.20801191298136257,01ABFW,0.15016406073479746,0.15464007192475193,0.13552877978846484
Irish_Repu,0.1796236767333685,0.1824363719648446,0.1811725835180466,01ABFX,0.24781846655811485,0.23554085988828008,0.21726463334759782
Irish_Repu,0.1656270265983008,0.16339815497531737,0.14008922952479902,01ABFY,0.1772909017108572,0.18239329873564983,0.1681626508200515
Irish_Repu,0.19688621189995195,0.1728449546825756,0.14253973534383352,01ABFZ,0.1582954479561225,0.14901062647961083,0.14685935343890083
Irish_Repu,0.1446320513956993,0.16341591011441658,0.121302434395553,01ABGA,0.12978005041904417,0.12754120273664835,0.12018612216886505
Irish_Repu,0.2066838669944993,0.17788010240949587,0.17366276626166569,01ABGB,0.21718135459580004,0.19047987246642795,0.1988242739754636
Irish_Repu,0.1698260216388211,0.14663531356281348,0.1464815411401898,01ABGC,0.1925939058585312,0.16751440360786252,0.18229333961981892
Irish_Repu,0.14696482641821057,0.1347800877329484,0.16700588586101006,01ACFA,0.20660610782708225,0.18866542161722719,0.179974202807299
Irish_Repu,0.14089961135968126,0.1259566367829714,0.11554764380172862,01ACFB,0.13310147771300068,0.1278277937332262,0.14520484383084045
Irish_Repu,0.13996650135067673,0.1432587604358632,0.17797996370994298,01ACFC,0.12682520205719652,0.12044300257472895,0.1401866410406807
Irish_Repu,0.12223741117959103,0.111309381841788,0.16653723002173537,01ACFD,0.1276494492318172,0.1158696106763177,0.1356532671046844
Irish_Repu,0.1362340613146587,0.14149348817861918,0.1752158814634579,01ACFE,0.13238498252751507,0.12190795539352495,0.1597436452281917
Irish_Repu,0.1306354012606316,0.1019607304194093,0.1189769703187891,01ACFF,0.11547236361430832,0.11071378759601137,0.12950361927832343
Irish_Repu,0.0970434409364692,0.08583740965531861,0.126359554910122,01ACFG,0.11953139215347794,0.12396715383574831,0.1622608386843008
Irish_Repu,0.10077588097248726,0.08266461375313791,0.09643717677938834,01ACFH,0.12457018620210229,0.12899119084561847,0.12275321780664736
Irish_Repu,0.10077588097248726,0.09781717113595356,0.08868272318113048,01ACFJ,0.1267163392228127,0.12250689516507135,0.1363988605688974
Irish_Repu,0.1138394210985504,0.10394378907284134,0.13339842235160018,01ACFK,0.12887286013251198,0.11755708846991852,0.11935116741877616
Irish_Repu,0.09424411090945567,0.09480973328492687,0.15005927055861526,01ACFL,0.09804320166040262,0.10816245270537649,0.12871036242362713
