"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1971",0.294248152852776,0.552168023197734,0.321137689421784,0.513513430922292,0.580175871393568,0,0,0.550585475993667,0,0.40607009317141,0.28787216515688,0.309548559379941
"w1971q",0.252309740064925,0.25733708838031,0.292419765564105,0.445601153011945,0.321389963980131,0,0,0,0,0,0.397883138214951,0.317861766036114
"migshareMinusOwn1971",-0.018563690805306,0.00529086026454827,-0.0375714745004071,0,0,0,1.18227255783746,0.928269743827872,0,0,-0.0793463094155703,0.0675971932482609
"popPerAcre1971",0.00504519028456485,0.0023240193061726,0.00356532805703648,0.0024874623419433,0,0,0,0,0.0601803407728583,0.0575378016885902,0,0
"ea1971",0.0142400773329532,0.00378972353792288,0.0256401095979813,0,0,0,0,-0.41025523233522,0,0,0.0581985833554076,0
