"Estimate","Std..Error","t.value","Pr...t..","source","coeff"
0.294248152852776,0.0157434100924082,18.690242528502,8.16262737805697e-71,"5census_allScot_Poor","xij1971"
0.252309740064925,0.0228580709351767,11.0381029431771,2.24734576095923e-27,"5census_allScot_Poor","w1971q"
-0.018563690805306,0.00375862748033264,-4.93895468557131,8.65602919672089e-07,"5census_allScot_Poor","migshareMinusOwn1971"
0.0142400773329532,0.00201064228948684,7.08235244399819,2.09599353512501e-12,"5census_allScot_Poor","ea1971"
0.00504519028456485,0.000583561434378286,8.64551697104502,1.25288804159738e-17,"5census_allScot_Poor","popPerAcre1971"
0.552168023197734,0.0416804624680167,13.2476462712341,3.94979048429202e-38,"5census_allScot_Rich","xij1971"
0.25733708838031,0.0605013604444031,4.25340994797607,2.22438549481887e-05,"5census_allScot_Rich","w1971q"
0.00529086026454827,0.00177713523199331,2.97718494872999,0.00295177823934258,"5census_allScot_Rich","migshareMinusOwn1971"
0.00378972353792288,0.00115089061875994,3.29286161182393,0.00101285913719032,"5census_allScot_Rich","ea1971"
0.0023240193061726,0.000353759843946839,6.56948307146427,6.76292688033201e-11,"5census_allScot_Rich","popPerAcre1971"
0.321137689421784,0.0246884661405053,13.0075998887152,1.47883545544267e-34,"5census_urban_allScot_Poor","xij1971"
0.292419765564105,0.0354474430265238,8.24938953552446,8.80598993417841e-16,"5census_urban_allScot_Poor","w1971q"
-0.0375714745004071,0.00812449226851849,-4.62447046026402,4.52998922217313e-06,"5census_urban_allScot_Poor","migshareMinusOwn1971"
0.0256401095979813,0.00419525772402814,6.111688788779,1.69663519275722e-09,"5census_urban_allScot_Poor","ea1971"
0.00356532805703648,0.00120552298141888,2.95749488976159,0.00321373047447958,"5census_urban_allScot_Poor","popPerAcre1971"
0.513513430922292,0.079805180642431,6.43458766446631,2.39835682590181e-10,"5census_urban_allScot_Rich","xij1971"
0.445601153011945,0.115288995586841,3.86507966995251,0.000122165095954255,"5census_urban_allScot_Rich","w1971q"
0.00479512064128375,0.0031193226148902,1.53723139068529,0.124721781456813,"5census_urban_allScot_Rich","migshareMinusOwn1971"
0.00357944943698134,0.00240132721637373,1.49061294628006,0.136546749475788,"5census_urban_allScot_Rich","ea1971"
0.0024874623419433,0.000660250448812831,3.76745270891661,0.000179853355602762,"5census_urban_allScot_Rich","popPerAcre1971"
0.28787216515688,0.0410857663780438,7.00661544214782,2.29218555867207e-11,"Glasgow_5census_urbanPoor","xij1971"
0.397883138214951,0.0593294234441414,6.70633751547506,1.34006873506852e-10,"Glasgow_5census_urbanPoor","w1971q"
-0.0793463094155703,0.0384501518097303,-2.06361498410237,0.0400948666454861,"Glasgow_5census_urbanPoor","migshareMinusOwn1971"
0.0581985833554076,0.0156963014605545,3.70778960264386,0.000257961349406036,"Glasgow_5census_urbanPoor","ea1971"
-0.000781039801237991,0.00477037902354466,-0.163726990535363,0.870079418613348,"Glasgow_5census_urbanPoor","popPerAcre1971"
0.309548559379941,0.0859066551397294,3.60331290837075,0.000379601425249217,"Glasgow_5census_urbanRich","xij1971"
0.317861766036114,0.117620236478406,2.70244114068306,0.00735869406303367,"Glasgow_5census_urbanRich","w1971q"
0.0675971932482609,0.0120515175643611,5.60901918677532,5.41939095696052e-08,"Glasgow_5census_urbanRich","migshareMinusOwn1971"
-0.00273209986760488,0.0101824786896128,-0.268313831129538,0.788680808557809,"Glasgow_5census_urbanRich","ea1971"
0.00563663644469208,0.00287790470795356,1.95859036927606,0.0512815754892288,"Glasgow_5census_urbanRich","popPerAcre1971"
0.0401251193647177,0.105567998943435,0.380087903212199,0.704541059905797,"Edinburgh_5census_urbanPoor","xij1971"
0.152188829875031,0.169979221333771,0.895337845889963,0.372369621011193,"Edinburgh_5census_urbanPoor","w1971q"
-0.155466853183812,0.0789189402665587,-1.96995616842678,0.0511089183867902,"Edinburgh_5census_urbanPoor","migshareMinusOwn1971"
0.0832945593686744,0.0542729335806034,1.534734790869,0.127438298548861,"Edinburgh_5census_urbanPoor","ea1971"
0.0601803407728583,0.0121405202648191,4.95698202878912,2.33686862408333e-06,"Edinburgh_5census_urbanPoor","popPerAcre1971"
0.40607009317141,0.0941564239511706,4.31271788085323,3.29221924882654e-05,"Edinburgh_5census_urbanRich","xij1971"
-0.0350038708948333,0.127018560780622,-0.275580755125149,0.783336313923429,"Edinburgh_5census_urbanRich","w1971q"
0.0542285283107118,0.0388910616333727,1.39436996659864,0.165739971275318,"Edinburgh_5census_urbanRich","migshareMinusOwn1971"
0.004450033297463,0.0330757044344838,0.134540847233582,0.893196620276587,"Edinburgh_5census_urbanRich","ea1971"
0.0575378016885902,0.00703011809635137,8.18447156932574,3.03900791980108e-13,"Edinburgh_5census_urbanRich","popPerAcre1971"
0.580175871393568,0.0926980481669927,6.25877117011567,1.8095738105503e-06,"Aberdeen_5census_urbanPoor","xij1971"
0.321389963980131,0.131233400059656,2.44899517831615,0.0220070121463458,"Aberdeen_5census_urbanPoor","w1971q"
-0.727263918689602,0.892580059682577,-0.814788444801506,0.42320535217781,"Aberdeen_5census_urbanPoor","migshareMinusOwn1971"
-0.514450551943402,0.424803679540652,-1.21103129921023,0.237674093655799,"Aberdeen_5census_urbanPoor","ea1971"
-0.105166444347773,0.0915420557324999,-1.14883201503673,0.261946568961559,"Aberdeen_5census_urbanPoor","popPerAcre1971"
0.650398659258897,0.384455315252302,1.69174058325105,0.103641331488849,"Aberdeen_5census_urbanRich","xij1971"
-0.296774485936199,0.36968744915163,-0.802771331883854,0.429985473719466,"Aberdeen_5census_urbanRich","w1971q"
