"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1991",0.505379747757884,0.632338550227452,0.507919705721242,0.784131753130278,0.585191268437053,0,0.720863136106802,0,0.363051414768516,0.620888177162555,0.501491090315932,0.456464297313899
"w1991q",0.280395446030081,0.386661132169416,0.284127185183148,0.498226944598317,0,0,0,0,0.380307067836901,0,0.287235234913557,0
"migshareMinusOwn1991",0,0.00632173557113486,0,0.00701653975497219,0,1.20586985109828,0.263773825237787,0.352419738543328,-0.102425803944499,0,0,0.0571042902047854
"popPerAcre1991",0.00273705730342286,0.00309021363023553,0,0.00279019910586636,0,0,0,0,0.037173697501812,0.037995092220028,0,0
"ea1991",0,0,0,-0.00176576352054685,0,-1.12631922896911,0,0,0,-0.0377862133111729,0,-0.00749646239766321
