"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1971",0.234128659377922,0.330112331891745,0.255683038819554,0.267353425956076,0.363425965455212,0,0,0.574107794766198,0.131079655433507,0.359347824105684,0.119992268081018,0.299638573980179
"w1971q",0.248933759571439,0,0.266713035073872,0,0,0,0,0,0.280683276606761,0,0.303951605372882,0
"migshareMinusOwn1971",-0.00576638202674459,0.0112909759059436,-0.0110171646003987,0.0144355499283355,0,2.29811415593639,1.19994875549258,1.15335777851684,-0.136021881126466,0.0756844240679472,0,0.0641243096056021
"popPerAcre1971",0.00523778811134407,0.00432032368688154,0.00393392333455497,0.00457140669091591,0,0,0,0,0.0451306029560539,0.0600451566594664,0,0.0078241950488332
"ea1971",0.0066003003589992,0.0094533447934181,0.00848445052285467,0.0150879066501344,-0.948525160964224,-1.11014037831549,0,-0.382187401664531,0,0.0554195844123233,0,0.0222113290732822
