"coeff","5census_allScot_Poor","5census_allScot_Rich","5census_urban_allScot_Poor","5census_urban_allScot_Rich","Aberdeen_5census_urbanPoor","Aberdeen_5census_urbanRich","Dundee_5census_urbanPoor","Dundee_5census_urbanRich","Edinburgh_5census_urbanPoor","Edinburgh_5census_urbanRich","Glasgow_5census_urbanPoor","Glasgow_5census_urbanRich"
"xij1991",0.475779280514873,0.528668771340514,0.500405699134038,0.539226838560955,0.303194452391494,0.460924843622006,0.503574349469341,0,0.431994647260915,0.516285491630302,0.438322441656488,0.493061218090392
"w1991q",0.33464746438563,0.11475579550591,0.349923888815418,0,0.290145472766947,0,0.505930257924221,0,0.332631795446859,0,0.300519362829883,0
"migshareMinusOwn1991",0,0.0113439941133198,0,0.0152081356729081,0.936827619588543,1.40907102659927,0,0.490499023172271,-0.111430739056116,0.0859313258159464,0,0.0499569619876817
"popPerAcre1991",0.00357931177428692,0.00430834811327041,0.00184750530849502,0.00457559152062372,0,0,0,0,0.0272403038062293,0.0476848294296993,0,0.00882632866637493
"ea1991",-0.000875460083314772,0.00220543283013329,0,0.00283734972625616,-0.62526848406837,-0.956247486550313,0,0,-0.0713240811319434,0,-0.012606741007613,0
