"coeff","3census_allScot_Poor","3census_allScot_Rich","3census_urban_allScot_Poor","3census_urban_allScot_Rich","Aberdeen_3census_urban_allScot_Poor","Aberdeen_3census_urban_allScot_Rich","Dundee_3census_urban_allScot_Poor","Dundee_3census_urban_allScot_Rich","Edinburgh_3census_urban_allScot_Poor","Edinburgh_3census_urban_allScot_Rich","Glasgow_3census_urban_allScot_Poor","Glasgow_3census_urban_allScot_Rich"
"xij1991",0.395126565975438,0.255186615460915,0.412280279757984,0.416330704660581,0.32431525536704,0.329701525250371,0.28400750831172,0.18605608490188,0.420576442662652,0.435899195528086,0.314081276790033,0.317655279834508
"w1991q",0.422616461187722,0.0829958087022567,0.43223847153449,0.309462674193351,0.18836600157255,0,0.475242444578226,0,0.388520563818892,0.121277216375361,0.257248109664272,0.215531252669998
"migshareMinusOwn1991",0.00313486647357753,0.0140047079621399,0,0.0113207113305235,0.843223174796484,1.70896984919656,0,0.260093494717702,-0.133474883984364,0.126588238455746,0.0212627736934647,0.0523463928090322
"lph91",0,0.0459977692120058,-0.0633020764788735,0.0293429738996132,0,0,0,0,0,-0.690761425773569,0,0.216388263633746
"hsperacre91",0.00603457566075145,0.0116160560230633,0,0.00741749734927449,-0.413164414252641,-0.43784139477728,0,-0.314178649267173,0.0457606048870193,0.0707740096487364,-0.0208759836050292,0
"lpophs91",-0.166290844900582,-0.15131962021973,-0.418736607434082,-0.360378876087356,-8.14288494639666,-8.49141248977806,-16.0981749790382,-19.3286218375599,-1.94946565454788,0,-1.86031365486581,-1.98837487147734
"ea91",-0.00122435151361594,0.00251227454066349,0,0.00301870153931901,-0.481495844892837,-0.400619216870801,0,0,-0.0453805954678145,0.0484318275105299,0,0.00684689709937395
